CPU1 VCORE0 T    | 42.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 VCORE1 T    | 36.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 VIO T       | 38.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
CPU1 VSOC T      | 46.000     | degrees C  | ok    | na        | na        | na        | 90.000    | 95.000    | na        
DIMM0 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM1 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM2 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM3 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM4 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM5 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM6 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM7 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM8 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM9 T          | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM10 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM11 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM12 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM13 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM14 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM15 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM16 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM17 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM18 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM19 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM20 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM21 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM22 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
DIMM23 T         | na         | degrees C  | na    | na        | na        | na        | 85.000    | 95.000    | na        
HOTSWAP T        | 31.000     | degrees C  | ok    | na        | na        | na        | 94.000    | 109.000   | na        
M2 T             | na         | degrees C  | na    | na        | na        | na        | 65.238    | 70.218    | na        
MB INLET T       | 21.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
MB OUTLET T 1    | 29.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
MB OUTLET T 2    | 32.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
MB OUTLET T 3    | 25.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na        
BMC P1V0         | 1.006      | Volts      | ok    | na        | 0.874     | 0.920     | 1.076     | 1.131     | na        
